id,company,projectName,customer,country,state,city,latitude,longitude,locationAccuracy,status,projectType,powerMwPlanned,powerMwSecured,gpuModel,gpuCount,contractValueUsd,contractStatus,announcedDate,expectedOnlineDate,lastUpdated,confidenceScore,sourceUrl,notes
crusoe_abilene_microsoft_ai_factory_power,Crusoe,Abilene Microsoft AI Factory Expansion and On-site Power,Microsoft,USA,Texas,Abilene,32.4487,-99.7331,city_level,planned,power_site,900,,,,,announced,2026,TBD,2026-06-03,68,https://apnews.com/article/ai-stargate-microsoft-openai-crusoe-oracle-f4f74c3a4617d8cfab5b933fc31ccc6e,AP reported Microsoft would take over a Texas expansion with Crusoe involving two new AI factory buildings and a planned on-site 900 MW power plant. Treat as lower confidence until confirmed through company filings/releases. Coordinates are city-level.
lambda_kansas_city_100mw_ai_factory,Lambda,Kansas City 100 MW AI Factory,Undisclosed single Lambda customer,USA,Missouri,Kansas City,39.0997,-94.5786,city_level,under_construction,ai_factory,100,24,NVIDIA Blackwell Ultra,10000,,signed,2025-11-18,2026-early,2026-06-03,86,https://lambda.ai/blog/lambda-to-build-a-100mw-ai-factory-in-kansas-city-mo,"Lambda announced a Kansas City AI Factory launching in early 2026 with 24 MW initial capacity, potential scale beyond 100 MW, and more than 10,000 NVIDIA Blackwell Ultra GPUs, dedicated to a single multi-year customer. Coordinates are city-level."
lambda_prime_lax01_vernon,Lambda,Prime Data Centers LAX01 - Lambda Blackwell Deployment,Lambda platform,USA,California,Vernon,34.0039,-118.2301,city_level,under_construction,colocation,33,21,NVIDIA Blackwell,,,signed,2025-11-18,TBD,2026-06-03,82,https://www.prnewswire.com/news-releases/prime-data-centers-and-lambda-partner-to-power-the-next-era-of-superintelligence-with-ai-optimized-infrastructure-in-southern-california-302613971.html,"Prime Data Centers announced a Lambda deployment at LAX01 in Vernon, California. LAX01 delivers 33 MW critical power; Lambda initially leases 21 MW and deploys NVIDIA Blackwell GPUs. Coordinates are city-level."
lambda_ecl_mountain_view_mv1_gb300,Lambda,ECL Mountain View MV1 - Hydrogen-powered GB300 Systems,Lambda platform,USA,California,Mountain View,37.3861,-122.0839,city_level,operating,gpu_cloud_region,,,NVIDIA GB300 NVL72,,,signed,2025-09-23,2025,2026-06-03,78,https://www.businesswire.com/news/home/20250923779565/en/Lambda-and-ECL-Bring-the-First-Hydrogen-Powered-NVIDIA-GB300-NVL72-Systems-Online,Lambda and ECL announced hydrogen-powered NVIDIA GB300 NVL72 systems at ECL's MV1 facility in Mountain View. The cited release gives 142 kW per system but does not disclose total MW or GPU count. Coordinates are city-level.
lambda_aligned_dfw04_plano,Lambda,Aligned DFW-04 Plano - Lambda Blackwell / Ultra,Lambda platform,USA,Texas,Plano,33.0198,-96.6989,city_level,under_construction,colocation,,,NVIDIA Blackwell / Blackwell Ultra,,,signed,2025,TBD,2026-06-03,72,https://aligneddc.com/press-release/aligned-and-lambda-partner-to-power-next-generation-ai-infrastructure-6/,"Aligned announced Lambda will occupy DFW-04, under construction in Plano, Texas, supporting NVIDIA Blackwell and Blackwell Ultra. Power capacity and GPU count were not disclosed in the cited release. Coordinates are city-level."
hut8_river_bend_anthropic_fluidstack,Hut 8,River Bend Campus - Anthropic / Fluidstack,Anthropic / Fluidstack,USA,Louisiana,West Feliciana Parish / St. Francisville,30.7799,-91.3765,county_level,under_construction,ai_factory,1245,245,High-performance AI clusters,,7000000000,signed,2025-12-17,2027-early,2026-06-03,88,https://www.prnewswire.com/news-releases/hut-8-announces-ai-infrastructure-partnership-with-anthropic-and-fluidstack-302644377.html,"Hut 8 announced partnership with Anthropic and Fluidstack: initial 245 MW IT capacity at River Bend supported by 330 MW utility capacity, plus ROFO for up to 1,000 MW additional IT at River Bend. powerMwPlanned equals initial 245 MW + ROFO 1,000 MW. Coordinates are county-level."
hut8_beacon_point_nueces_confidential,Hut 8,Beacon Point Campus - 1 GW AI Data Center,Confidential high-investment-grade tenant,USA,Texas,Nueces County / Corpus Christi area,27.8006,-97.3964,county_level,under_construction,ai_factory,1000,352,NVIDIA DSX reference architecture,,9800000000,signed,2026-05-06,2027-Q3,2026-06-03,90,https://www.prnewswire.com/news-releases/hut-8-commercializes-first-phase-of-1-gw-beacon-point-ai-data-center-campus-with-15-year-352-mw-it-lease-with-base-term-contract-value-of-9-8-billion-302763484.html,"Hut 8 announced a 15-year 352 MW IT lease with $9.8B base-term value at Beacon Point, a 1 GW campus in Nueces County, Texas, with interconnection agreement for 1,000 MW utility capacity. Coordinates are county/city-level."
core_scientific_austin_coreweave_16mw,Core Scientific,Austin Data Center - CoreWeave 16 MW HPC Hosting,CoreWeave,USA,Texas,Austin,30.2672,-97.7431,city_level,operating,data_center,16,16,NVIDIA GPUs,,100000000,signed,2024-03-06,2024,2026-06-03,88,https://investors.corescientific.com/news-events/press-releases/detail/9/core-scientific-to-provide-coreweave-up-to-16-mw-of-data-center-infrastructure-to-support-ai-and-hpc-workloads-in-long-term-hosting-contract-with-potential-revenue-of-more-than-100-million,"Core Scientific announced a multi-year contract to supply up to 16 MW at a new Austin, TX data center to host CoreWeave infrastructure, with potential revenue more than $100M. Coordinates are city-level."
core_scientific_multi_site_coreweave_270mw,Core Scientific,CoreWeave Multi-site HPC Hosting - 270 MW Contracted Infrastructure,CoreWeave,USA,Multiple,Multiple,,,unknown,under_construction,data_center,270,270,NVIDIA GPUs,,4725000000,signed,2024-06-03 / 2024-06-25,2025-H2,2026-06-03,78,https://investors.corescientific.com/news-events/press-releases/detail/78/core-scientific-announces-new-contract-with-coreweave-for-delivery-of-approximately-70-mw-of-additional-infrastructure-to-host-high-performance-computing-operations,"Core Scientific announced approximately 200 MW of infrastructure for CoreWeave with more than $3.5B projected revenue, then an additional approximately 70 MW and $1.225B projected revenue; specific site coordinates were not disclosed in the cited releases, so this row should appear in Needs Geocoding."
lambda_hrt_blackwell_cloud_deal,Lambda,HRT Blackwell Cloud Access Deal,Hudson River Trading,USA,Unknown,Undisclosed,,,unknown,operating,gpu_cloud_region,,,NVIDIA Blackwell,1000,,signed,2026-05-20,2026,2026-06-03,70,https://www.reuters.com/legal/transactional/lamda-wins-cloud-deal-with-hudson-river-trading-supply-access-nvidia-chips-2026-05-20/,"Reuters reported Lambda won a cloud contract with Hudson River Trading involving access to more than 1,000 Blackwell systems already purchased and installed in a data center, with financial terms undisclosed. Location is undisclosed; do not plot on map."
